code,family,series,texture,structure,depth_upper,depth_lower,horizon,depth_gwater,location,site_ID,annual_rain,avetemp_jan,avetemp_jul,date,publication_ID,keyword,contact_person_ID,rating,rated_by
1051,"thermic, coated typic Quartzipsamment",Lakeland,loamy sand,,20.0,51.0,C1,,"Lillington, NC, USA",Plot 2,,,,,1.0,undisturbed,4.0,,
1052,"thermic, coated typic Quartzipsamment",Lakeland,sand,,51.0,97.0,C2,,"Lillington, NC, USA",Plot 2,,,,,1.0,undisturbed,4.0,,
1053,"thermic, coated typic Quartzipsamment",Lakeland,sand,,97.0,122.0,C3,,"Lillington, NC, USA",Plot 2,,,,,1.0,undisturbed,4.0,,
1054,"thermic, coated typic Quartzipsamment",Lakeland,sand,,122.0,152.0,C4,,"Lillington, NC, USA",Plot 2,,,,,1.0,undisturbed,4.0,,
1060,"thermic, coated typic Quartzipsamment",Lakeland,sand,,0.0,20.0,Ap,,"Hoffman, NC, USA",Plot 2,,,,,1.0,undisturbed,4.0,,
1061,"thermic, coated typic Quartzipsamment",Lakeland,sand,,20.0,38.0,C1,,"Hoffman, NC, USA",Plot 2,,,,,1.0,undisturbed,4.0,,
1062,"thermic, coated typic Quartzipsamment",Lakeland,loamy sand,,38.0,76.0,C2,,"Hoffman, NC, USA",Plot 2,,,,,1.0,undisturbed,4.0,,
1063,"thermic, coated typic Quartzipsamment",Lakeland,sand,,76.0,152.0,C3,,"Hoffman, NC, USA",Plot 2,,,,,1.0,undisturbed,4.0,,
1070,"thermic, coated typic Quartzipsamment",Lakeland,sand,,0.0,15.0,Ap,,"Laurinburg, NC, USA",Plot 2,,,,,1.0,undisturbed,4.0,,
1071,"thermic, coated typic Quartzipsamment",Lakeland,sand,,15.0,30.0,C1,,"Laurinburg, NC, USA",Plot 2,,,,,1.0,undisturbed,4.0,,
1072,"thermic, coated typic Quartzipsamment",Lakeland,sand,,30.0,71.0,C2,,"Laurinburg, NC, USA",Plot 2,,,,,1.0,undisturbed,4.0,,
1073,"thermic, coated typic Quartzipsamment",Lakeland,sand,,71.0,91.0,C3,,"Laurinburg, NC, USA",Plot 2,,,,,1.0,undisturbed,4.0,,
1074,"thermic, coated typic Quartzipsamment",Lakeland,sand,,91.0,112.0,C4,,"Laurinburg, NC, USA",Plot 2,,,,,1.0,undisturbed,4.0,,
1075,"thermic, coated typic Quartzipsamment",Lakeland,sand,,112.0,150.0,C5,,"Laurinburg, NC, USA",Plot 2,,,,,1.0,undisturbed,4.0,,
1080,Typic Paleudult,Norfolk,sandy loam,,0.0,18.0,Ap,,"Shorter, AL, USA","E.V. Smith Res. Ctr., Ala. Agric. Res. Sta., Tier 25",,,,1984,2.0,disturbed,5.0,8.0,Hopmans
1081,Typic Paleudult,Norfolk,sandy loam,,0.0,18.0,Ap,,"Shorter, AL, USA","E.V. Smith Res. Ctr., Ala. Agric. Res. Sta., Tier 25",,,,1984,2.0,disturbed,5.0,8.0,Hopmans
1082,Typic Paleudult,Norfolk,sandy loam,,0.0,18.0,Ap,,"Shorter, AL, USA","E.V. Smith Res. Ctr., Ala. Agric. Res. Sta., Tier 25",,,,1984,2.0,disturbed,5.0,8.0,Hopmans
1083,Typic Paleudult,Norfolk,sandy loam,,0.0,18.0,Ap,,"Shorter, AL, USA","E.V. Smith Res. Ctr., Ala. Agric. Res. Sta., Tier 25",,,,1984,2.0,disturbed,5.0,8.0,Hopmans
1084,Typic Paleudult,Norfolk,sandy loam,,0.0,18.0,Ap,,"Shorter, AL, USA","E.V. Smith Res. Ctr., Ala. Agric. Res. Sta., Tier 25",,,,1984,2.0,disturbed,5.0,8.0,Hopmans
1085,Typic Paleudult,Norfolk,sandy loam,,0.0,18.0,Ap,,"Shorter, AL, USA","E.V. Smith Res. Ctr., Ala. Agric. Res. Sta., Tier 25",,,,1984,2.0,disturbed,5.0,8.0,Hopmans
1086,Typic Paleudult,Norfolk,sandy loam,,0.0,18.0,Ap,,"Shorter, AL, USA","E.V. Smith Res. Ctr., Ala. Agric. Res. Sta., Tier 25",,,,1984,2.0,disturbed,5.0,8.0,Hopmans
1087,Typic Paleudult,Norfolk,sandy loam,,0.0,18.0,Ap,,"Shorter, AL, USA","E.V. Smith Res. Ctr., Ala. Agric. Res. Sta., Tier 25",,,,1984,2.0,disturbed,5.0,8.0,Hopmans
1090,"fine-loamy, siliceous, thermic Typic Paleudult",Norfolk,loamy sand,,0.0,25.0,Ap,,"Lillington, NC, USA",Site 3,,,,,3.0,undisturbed,4.0,,
1091,"fine-loamy, siliceous, thermic Typic Paleudults",Norfolk,sandy loam,,25.0,51.0,B1,,"Lillington, NC, USA",Site 3,,,,,3.0,undisturbed,4.0,,
1092,"fine-loamy, siliceous, thermic Typic Paleudults",Norfolk,sandy clay loam,,51.0,97.0,B2,,"Lillington, NC, USA",Site 3,,,,,3.0,undisturbed,4.0,,
1100,"fine-loamy, siliceous, thermic Typic Paleudult",Norfolk,sand,weak fine granular,0.0,27.0,Ap,,"Blackville, SC, USA",Site 5,,,,,3.0,undisturbed,2.0,,
1101,"fine-loamy, siliceous, thermic Typic Paleudult",Norfolk,sandy loam,weak fine granular,27.0,38.0,A2,,"Blackville, SC, USA",Site 5,,,,,3.0,undisturbed,2.0,,
1102,"fine-loamy, siliceous, thermic Typic Paleudult",Norfolk,sandy clay loam,weak medium subangular blocky,38.0,53.0,B1,,"Blackville, SC, USA",Site 5,,,,,3.0,undisturbed,2.0,,
1103,"fine-loamy, siliceous, thermic Typic Paleudult",Norfolk,sandy clay loam,weak medium subangular blocky,53.0,107.0,B21t,,"Blackville, SC, USA",Site 5,,,,,3.0,undisturbed,2.0,,
1104,"fine-loamy, siliceous, thermic Typic Paleudult",Norfolk,sandy clay loam,weak coarse subangular blocky,107.0,152.0,B22t,,"Blackville, SC, USA",Site 5,,,,,3.0,undisturbed,2.0,,
1110,fine-loamy siliceous thermic Plinthic Paleudult,Dothan,sand,weak medium granular,0.0,18.0,Ap,,"Blackville, SC, USA",Site 3,,,,,3.0,undisturbed,2.0,,
1111,fine-loamy siliceous thermic Plinthic Paleudult,Dothan,loamy sand,weak medium granular,18.0,33.0,A2,,"Blackville, SC, USA",Site 3,,,,,3.0,undisturbed,2.0,,
1112,fine-loamy siliceous thermic Plinthic Paleudult,Dothan,sandy loam,weak fine subangular blocky,33.0,53.0,B1,,"Blackville, SC, USA",Site 3,,,,,3.0,undisturbed,2.0,,
1113,fine-loamy siliceous thermic Plinthic Paleudult,Dothan,sandy clay loam,weak medium subangular blocky,53.0,69.0,B21t,,"Blackville, SC, USA",Site 3,,,,,3.0,undisturbed,2.0,,
1114,fine-loamy siliceous thermic Plinthic Paleudult,Dothan,sandy clay loam,weak medium subangular blocky,69.0,84.0,B22t,,"Blackville, SC, USA",Site 3,,,,,3.0,undisturbed,2.0,,
1115,fine-loamy siliceous thermic Plinthic Paleudult,Dothan,sandy clay loam,weak coarse subangular blocky,84.0,107.0,B23t,,"Blackville, SC, USA",Site 3,,,,,3.0,undisturbed,2.0,,
1116,fine-loamy siliceous thermic Plinthic Paleudult,Dothan,sandy clay loam,weak coarse subangular blocky,107.0,137.0,B24t,,"Blackville, SC, USA",Site 3,,,,,3.0,undisturbed,2.0,,
1117,fine-loamy siliceous thermic Plinthic Paleudult,Dothan,sandy clay loam,weak coarse subangular blocky,137.0,152.0,B25t,,"Blackville, SC, USA",Site 3,,,,,3.0,undisturbed,2.0,,
1120,fine-loamy siliceous thermic Plinthic Paleudult,Dothan,sandy loam,,0.0,21.0,Ap,200.0,"Rome, AL, USA","Solon Dixon Forestry Ed. Res. Ctr., East Plot",140.0,8.9,27.8,1980,3.0,undisturbed,1.0,,
1121,fine-loamy siliceous thermic Plinthic Paleudult,Dothan,sandy loam,,21.0,86.0,B21t,200.0,"Rome, AL, USA","Solon Dixon Forestry Ed. Res. Ctr., East plot",140.0,8.9,27.8,1980,3.0,undisturbed,1.0,,
1122,fine-loamy siliceous thermic Plinthic Paleudult,Dothan,sandy clay loam,,86.0,120.0,B22t,200.0,"Rome, AL, USA","Solon Dixon Forestry Res. Ctr., East Plot",140.0,8.9,27.8,1980,3.0,undisturbed,1.0,,
1123,fine-loamy siliceous thermic Plinthic Paleudult,Dothan,clay loam,,120.0,150.0,B3t,200.0,"Rome, AL, USA","Solon Dixon Forestry Res. Ctr., East Plot",140.0,8.9,27.8,1980,3.0,undisturbed,1.0,,
1130,,Dothan,sandy loam,,0.0,20.0,Ap,,"Blackstone, VA, USA",Site 1,,,,,3.0,undisturbed,6.0,,
1131,,Dothan,sandy loam,,20.0,43.0,A2,,"Blackstone, VA, USA",Site 1,,,,,3.0,undisturbed,6.0,,
1132,,Dothan,sandy clay loam,,43.0,74.0,B21t,,"Blackstone, VA, USA",Site 1,,,,,3.0,undisturbed,6.0,,
1133,,Dothan,sandy clay loam,,74.0,114.0,B22t,,"Blackstone, VA, USA",Site 1,,,,,3.0,undisturbed,6.0,,
1134,,Dothan,sandy clay,,114.0,137.0,B23t,,"Blackstone, VA, USA",Site 1,,,,,3.0,undisturbed,6.0,,
1135,,Dothan,sandy clay,,137.0,183.0,B24t,,"Blackstone, VA, USA",Site 1,,,,,3.0,undisturbed,6.0,,
1140,"loamy, siliceous, thermic Arenic Paleudult",Wagram,sand,weak medium granular,0.0,23.0,Ap,,"Clayton, NC, USA","Central Crops Res. Sta., Site 1",,,,,3.0,undisturbed,4.0,,
1141,"loamy, siliceous, thermic Arenic Paleudult",Wagram,sand,weak medium granular,23.0,36.0,E1,,"Clayton, NC, USA","Central Crops Res. Sta., Site 1",,,,,3.0,undisturbed,4.0,,
1142,"loamy, siliceous, thermic Arenic Paleudult",Wagram,sand,weak medium granular,36.0,56.0,E2,,"Clayton, NC, USA","Central Crops Res. Sta., Site 1",,,,,3.0,undisturbed,4.0,,
1143,"loamy, siliceous, thermic Arenic Paleudult",Wagram,loamy sand,,56.0,69.0,BE,,"Clayton, NC, USA","Central Crops Res. Sta., Site 1",,,,,3.0,undisturbed,4.0,,
1150,"fine-loamy, siliceous, thermic Aquic Paleudult",Goldsboro,loamy sand,weak fine granular,0.0,23.0,Ap,,"Florence, SC, USA",Site 1,,,,,3.0,,2.0,,
1151,"fine-loamy, siliceous, thermic Aquic Paleudult",Goldsboro,loamy sand,weak fine granular,23.0,38.0,A2,,"Florence, SC, USA",Site 1,,,,,3.0,,2.0,,
1152,"fine-loamy, siliceous, thermic Aquic Paleudult",Goldsboro,sandy clay loam,weak medium subangular blocky,38.0,69.0,B2kt,,"Florence, SC, USA",Site 1,,,,,3.0,,2.0,,
1160,,Cecil,loamy sand,"weak, medium granular",0.0,21.0,Ap,900.0,"Watkinsville, GA, USA",Plot 6,125.2,5.2,25.900000000000002,7/13/1981,4.0,undisturbed,7.0,,
1161,,Cecil,sandy loam,"weak, fine, subangular blocky",21.0,32.0,AB,900.0,"Watkinsville, GA, USA",Plot 6,125.2,5.2,25.900000000000002,7/13/1981,4.0,undisturbed,7.0,,
1162,,Cecil,clay,"moderate, fine subangular blocky",32.0,49.0,Bt1,900.0,"Watkinsville, GA, USA",Plot 6,125.2,5.2,25.900000000000002,7/13/1981,4.0,undisturbed,7.0,,
1163,,Cecil,clay,"moderate, medium subangular blocky",49.0,80.0,Bt2,900.0,"Watkinsville, GA, USA",Plot 6,125.2,5.2,25.900000000000002,7/13/1981,4.0,undisturbed,7.0,,
1164,,Cecil,sandy clay loam,"weak, fine subangular blocky",80.0,110.0,BC1,900.0,"Watkinsville, GA, USA",Plot 6,125.2,5.2,25.900000000000002,7/13/1981,4.0,undisturbed,7.0,,
1165,,Cecil,sandy clay loam,"weak, coarse subangular blocky",110.0,145.0,BC2,900.0,"Watkinsville, GA, USA",Plot 6,125.2,5.2,25.900000000000002,7/13/1981,4.0,undisturbed,7.0,,
1166,,Cecil,sandy clay loam,massive,145.0,230.0,C,900.0,"Watkinsville, GA, USA",Plot 6,125.2,5.2,25.900000000000002,7/13/1981,4.0,undisturbed,7.0,,
1170,,Cecil,sandy loam,"weak, fine granular",0.0,21.0,Ap,,"Clemson, SC, USA","Plot 1, Simpson Exp. Sta.",,,,,4.0,undisturbed,2.0,,
1171,,Cecil,sandy clay loam,"weak, medium, subangular blocky",21.0,38.0,BA,,"Clemson, SC, USA","Plot 1, Simpson Exp. Sta.",,,,,4.0,undisturbed,2.0,,
1172,,Cecil,clay loam,"moderate, medium subangular blocky",38.0,75.0,Bt1,,"Clemson, SC, USA","Plot 1, Simpson Exp. Sta.",,,,,4.0,undisturbed,2.0,,
1173,,Cecil,clay loam,"moderate, medium subangular blocky",75.0,110.0,Bt2,,"Clemson, SC, USA","Plot 1, Simpson Exp. Sta.",,,,,4.0,undisturbed,2.0,,
1174,,Cecil,sandy clay,"moderate, medium subangular blocky",,,BC,,"Clemson, SC, USA","Plot 1, Simpson Exp. Sta.",,,,,4.0,undisturbed,2.0,,
1180,"clayey, kaolinitic, thermic Typic Hapludult",Cecil,clay loam,"weak, fine, and medium granular",0.0,25.0,Ap,500.0,"Auburn, AL, USA","North Auburn Dairy Res. Unit, South Plot",140.0,7.2,26.1,1977,4.0,undisturbed,1.0,,
1181,"clayey, kaolinitic, thermic Typic Hapludult",Cecil,clay,moderate medium angular blocky,25.0,50.0,Bt1,500.0,"Auburn, AL, USA","North Auburn Dairy Res. Unit, South Plot",140.0,7.2,26.1,1977,4.0,undisturbed,1.0,,
1182,"clayey, kaolinitic, thermic Typic Hapludult",Cecil,clay,moderate medium angular blocky,50.0,75.0,Bt2,500.0,"Auburn, AL, USA","North Auburn Dairy Res. Unit, South Plot",140.0,7.2,26.1,1977,4.0,undisturbed,1.0,,
1183,"clayey, kaolinitic, thermic Typic Hapludult",Cecil,sandy clay loam,weak fine subangular blocky,75.0,105.0,BC,500.0,"Auburn, AL, USA","North Auburn Dairy Res. Unit, South Plot",140.0,7.2,26.1,1977,4.0,undisturbed,1.0,,
1184,"clayey, kaolinitic, thermic Typic Hapludult",Cecil,sandy clay loam,weak subangular blocky and massive,105.0,140.0,B/C,500.0,"Auburn, AL, USA","North Auburn Dairy Res. Unit, South Plot",140.0,7.2,26.1,1977,4.0,undisturbed,1.0,,
1190,fine mixed thermic Pachic Argiustoll,Bethany,loam,weak medium subangular blocky,0.0,25.0,A1,,"Payne County, OK, USA","Site 1, Exp. station",,,,1978,5.0,undisturbed,8.0,,
1191,fine mixed thermic Pachic Argiustoll,Bethany,clay loam,strong coarse subangular blocky,25.0,33.0,B1t,,"Payne County, OK, USA","Site 1, Exp. station",,,,1978,5.0,undisturbed,8.0,,
1192,fine mixed thermic Pachic Argiustoll,Bethany,clay loam,moderate coarse prismatic,33.0,71.0,B21t,,"Payne County, OK, USA","Site 1, Exp. station",,,,1978,5.0,undisturbed,8.0,,
1193,fine mixed thermic Pachic Argiustoll,Bethany,clay loam,weak coarse prismatic,71.0,104.0,B22t,,"Payne County, OK, USA","Site 1, Exp. station",,,,1978,5.0,undisturbed,8.0,,
1194,fine mixed thermic Pachic Argiustoll,Bethany,clay loam,weak coarse prismatic,104.0,157.0,B31t,,"Payne County, OK, USA","Site 1, Exp. station",,,,1978,5.0,undisturbed,8.0,,
1200,"fine loamy, mixed, thermic, Ultic Haplustalf",Konawa,sandy loam,weak fine granular,0.0,30.0,Ap,,"Perkins, Payne County, OK, USA",Site 1,,,,1980,5.0,undisturbed,8.0,,
1201,"fine loamy, mixed, thermic, Ultic Haplustalf",Konawa,sandy clay loam,moderate medium prismatic,30.0,76.0,B21t,,"Perkins, Payne County, OK, USA",Site 1,,,,1980,5.0,undisturbed,8.0,,
1202,"fine loamy, mixed, thermic, Ultic Haplustalf",Konawa,sandy loam,moderate coarse prismatic,76.0,99.0,B22t,,"Perkins, Payne County, OK, USA",Site 1,,,,1980,5.0,undisturbed,8.0,,
1203,"fine loamy, mixed, thermic, Ultic Haplustalf",Konawa,loamy sand,weak coarse prismatic,99.0,123.0,B31,,"Perkins, Payne County, OK, USA",Site 1,,,,1980,5.0,undisturbed,8.0,,
1204,"fine loamy, mixed, thermic, Ultic Haplustalf",Konawa,sandy loam,weak coarse prismatic,123.0,152.0,B32,,"Perkins, Payne County, OK, USA",Site 1,,,,1980,5.0,undisturbed,8.0,,
1210,"fine loamy, mixed, thermic, Pachic Argiustoll",Tipton,sandy loam,weak fine granular,0.0,25.0,Ap,,"Tillman County, OK, USA",Site 2,,,,1979,5.0,undisturbed,8.0,,
1211,"fine loamy, mixed, thermic, Ultic Haplustalf",Tipton,loam,weak medium subangular blocky,25.0,60.0,A12,,"Tillman County, OK, USA",Site 2,,,,1979,5.0,undisturbed,8.0,,
1212,"fine loamy, mixed, thermic, Pachic Argiustoll",Tipton,loam,weak coarse prismatic,60.0,103.0,B21t,,"Tillman County, OK, USA",Site 2,,,,1979,5.0,undisturbed,8.0,,
1213,"fine loamy, mixed, thermic, Pachic Argiustoll",Tipton,clay loam,moderate medium prismatic,103.0,143.0,IIB22t,,"Tillman County, OK, USA",Site 2,,,,1979,5.0,undisturbed,8.0,,
1220,Typic Hapludult,Sequoia,silt loam,moderate medium granular,0.0,10.0,Ap,,"Oak Ridge, TN, USA","Oak Ridge Nat. Lab., 15m east of Trench 7",,,,1980,6.0,undisturbed,9.0,,
1221,Typic Hapludult,Sequoia,silt loam,strong medium angular blocky,10.0,20.0,B21t,,"Oak Ridge, TN, USA","Oak Ridge Nat. Lab., 15m east of Trench 7",,,,1980,6.0,undisturbed,9.0,,
1222,Typic Hapludult,Sequoia,silt loam,moderate medium subangular blocky,20.0,30.0,B22t,,"Oak Ridge, TN, USA","Oak Ridge Nat. Lab., 15m east of Trench 7",,,,1980,6.0,undisturbed,9.0,,
1223,Typic Hapludult,Sequoia,silt loam,weak angular blocky,30.0,55.0,B3,,"Oak Ridge, TN, USA","Oak Ridge Nat. Lab., 15m east of Trench 7",,,,1980,6.0,undisturbed,9.0,,
1224,Typic Hapludult,Sequoia,silt loam,weak medium subangular blocky,55.0,105.0,Cr1,,"Oak Ridge, TN, USA","Oak Ridge Nat. Lab., 15m east of Trench 7",,,,1980,6.0,undisturbed,9.0,,
1225,Typic Hapludult,Sequoia,silt loam,,105.0,200.0,Cr2,,"Oak Ridge, TN, USA","Oak Ridge Nat. Lab., 15m east of Trench 7",,,,1980,6.0,undisturbed,9.0,,
1230,clayey kaolinitic and thermic Typic Paleudult,Fullerton,silt loam,moderate fine granular,0.0,10.0,A1,,"Oak Ridge, TN, USA","Lat. 35 57N, Long. 84 17, Walker Branch Watershed Roane Co.",,,,1978,6.0,undisturbed,9.0,,
1231,"clayey, kaolinitic, and thermic Typic Paleudult",Fullerton,silt loam,moderate medium granular,10.0,32.0,A2,,"Oak Ridge, TN, USA","Lat. 35 57N, Long. 84 17W, Walker Branch Watershed Roane Co.",,,,1978,6.0,undisturbed,9.0,,
1232,"clayey, kaolinitic, and thermic Typic Paleudult",Fullerton,silt loam,moderate medium granular,32.0,37.0,A3,,"Oak Ridge, TN, USA","Lat. 35 57N, Long. 84 17W, Walker Branch Watershed Roane Co.",,,,1978,6.0,undisturbed,9.0,,
1233,"clayey, kaolinitic, and thermic Typic Paleudult",Fullerton,silt loam,moderate very fine subangular,37.0,45.0,B1,,"Oak Ridge, TN, USA","Lat. 35 57N, Long. 84 17W, Walker Branch Watershed Roane Co.",,,,1978,6.0,undisturbed,9.0,,
1234,"clayey, kaolinitic, and thermic Typic Paleudult",Fullerton,silt loam,moderate med. fine subangular block,45.0,92.0,B21t,,"Oak Ridge, TN, USA","Lat. 35 57N, Long. 84 17W, Walker Branch Watershed Roane Co.",,,,1978,6.0,undisturbed,9.0,,
1235,"clayey, kaolinitic, and thermic Typic Paleudult",Fullerton,silt loam,strong medium subangular blocky,92.0,110.0,B22t,,"Oak Ridge, TN, USA","Lat. 35 57N, Long. 84 17W, Walker Branch Watershed Roane Co.",,,,1978,6.0,undisturbed,9.0,,
1236,"clayey, kaolinitic, and thermic Typic Paleudult",Fullerton,silt loam,strong medium subangular blocky,110.0,140.0,B23t,,"Oak Ridge, TN, USA","Lat. 35 57N, Long. 84 17W, Walker Branch Watershed Roane Co.",,,,1978,6.0,undisturbed,9.0,,
1237,"clayey, kaolinitic, and thermic Typic Paleudult",Fullerton,silt loam,strong medium subangular blocky,140.0,215.0,B31,,"Oak Ridge, TN, USA","35ø57'N, 84ø17'W, Walker Branch Watershed Roane Co.",,,,7/8/1978,6.0,undisturbed,9.0,,
1240,"mixed, mesic, Xeric Torripsamment",Quincy sand,sand,,0.0,60.0,,1500.0,"Hanford, Richland, WA, USA","Buried Waste Test Facility, North Caisson",16.0,-1.5,24.7,1987,7.0,disturbed,10.0,,
1241,"mixed, mesic, Xeric Torripsamment",Quincy sand,sand,,60.0,350.0,,1500.0,"Hanford, Richland, WA, USA","Buried Waste Test Facility, North Caisson",16.0,-1.5,24.7,1987,7.0,disturbed,10.0,,
1260,"mixed, mesic, Xerollic Camborthid",Warden silt loam,loam,,0.0,40.0,,1500.0,"Hanford, Richland, WA, USA",McGee ranch,16.0,-1.5,24.7,1987,7.0,disturbed,10.0,,
1261,"mixed, mesic, Xerollic Camborthid",Warden silt loam,loam,,40.0,120.0,,1500.0,"Hanford, Richland, WA, USA",McGee ranch,16.0,-1.5,24.7,1978,7.0,disturbed,10.0,,
1270,Apache Leap Tuff,White Unit,Tuffaceous Rock,Slightly Welded,0.0,3000.0,rock,,"Superior, AZ, USA","Borehole Test Site, SE1/4 of SE1/4 of NW1/4, S32, T1S, R13E",50.0,10.0,28.0,1990,8.0,undisturbed,11.0,6.0,Rasmussen
1280,"fine-silty Mixed, mesic Typic Hapludalf",Ohlendorf Parabraunerde,silt loam,subangular blocky,0.0,35.0,Ap,,"Ohlendorf, Hannover, Germany",,63.0,,,11/14/1988,9.0,undisturbed,12.0,9.0,Wendroth
1281,"fine-silty Mixed, mesic Typic Hapludalf",Ohlendorf Parabraunerde,silt loam,blocky,35.0,55.0,A1,,"Ohlendorf, Hannover, Germany",,63.0,0.0,,11/14/1988,9.0,undisturbed,12.0,9.0,Wendroth
1282,"fine-silty Mixed, mesic Typic Hapludalf",Ohlendorf Parabraunerde,silt loam,prismatic blocky,70.0,130.0,Bt,,"Ohlendorf, Hannover, Germany",,63.0,,,11/14/1988,9.0,undisturbed,12.0,9.0,Wendroth
1290,Eutric Arenosol,Darmstadt Braunerde,sand,single,0.0,25.0,Ap,1000.0,"Darmstadt, Germany",,62.6,-2.0,19.0,1989,10.0,undisturbed,13.0,7.0,Plagge
1300,,Glendale I,sandy clay loam,,,,,,"Las Cruces, NM, USA",Greenhouse column I,,,,1971,11.0,"hysteresis, disturbed",1.0,,
1301,,Glendale II,clay loam,,,,,,"Las Cruces, NM, USA",Column II,,,,1971,11.0,"hysteresis, disturbed",1.0,,
1310,,River sand,sand,,,,,,"Las Cruces, NM, USA",Greenhouse column II,,,,1971,11.0,"hysteresis, disturbed",1.0,,
1320,Eutric Vertisol,Ziegelei Hoelle Pelosol,silty clay,,15.0,60.0,Bw,,"Ziegelei Hoelle, Gottingen, Germany",,65.0,-1.0,16.0,1987,10.0,undisturbed,13.0,6.0,Plagge
1330,Albic Luvisol,Ohlendorf Parabraunerde,silt,,0.0,35.0,Ap,260.0,"Ohlendorf, Hannover, West Germany",,65.0,0.0,0.0,1989,10.0,undisturbed,13.0,7.0,Plagge
1331,Albic Luvisol,Ohlendorf Parabraunerde,silt loam,,55.0,80.0,Bt,260.0,"Ohlendorf, Hannover, Germany",,65.0,0.0,0.0,1989,10.0,undisturbed,13.0,7.0,Plagge
